"spkid","full_name","a","e","i","om","w","q","ad","per.y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
2000433,"   433 Eros (A898 PA)",1.458,0.2227,10.83,304.30,178.90,1.133,1.78,1.76,46582,0,9130,4,2,10.31
2000719,"   719 Albert (A911 TB)",2.638,0.5470,11.58,183.86,156.23,1.195,4.08,4.28,40385,0,1947,,,15.57
2000887,"   887 Alinda (A918 AA)",2.473,0.5705,9.39,110.43,350.49,1.062,3.88,3.89,37799,0,2630,,,13.87
2001036,"  1036 Ganymed (A924 UB)",2.666,0.5331,26.68,215.52,132.43,1.245,4.09,4.35,35617,0,7388,0,1,9.23
2001221,"  1221 Amor (1932 EA1)",1.919,0.4358,11.88,171.32,26.64,1.082,2.75,2.66,32775,0,573,,,17.40
2001566,"  1566 Icarus (1949 MA)",1.078,0.8269,22.80,87.96,31.44,0.187,1.97,1.12,26339,0,1078,10,13,16.35
2001580,"  1580 Betulia (1950 KA)",2.197,0.4872,52.08,62.29,159.51,1.127,3.27,3.26,25873,0,1353,5,6,14.69
2001620,"  1620 Geographos (1951 RA)",1.246,0.3354,13.34,337.18,276.95,0.828,1.66,1.39,25738,0,4789,3,4,15.34
2001627,"  1627 Ivar (1929 SH)",1.863,0.3967,8.45,133.12,167.80,1.124,2.60,2.54,33819,0,7772,3,1,12.76
2001685,"  1685 Toro (1948 OA)",1.367,0.4360,9.38,274.24,127.21,0.771,1.96,1.6,26681,0,3641,7,2,14.34
2001862,"  1862 Apollo (1932 HA)",1.471,0.5600,6.35,35.57,286.04,0.647,2.29,1.78,33329,0,2282,8,9,16.11
2001863,"  1863 Antinous (1948 EA)",2.259,0.6060,18.40,346.42,268.09,0.890,3.63,3.4,26930,0,1068,,,15.40
2001864,"  1864 Daedalus (1971 FA)",1.461,0.6145,22.22,6.61,325.66,0.563,2.36,1.77,18663,0,2904,1,0,14.77
2001865,"  1865 Cerberus (1971 UA)",1.08,0.4670,16.10,212.90,325.27,0.576,1.58,1.12,18230,0,2011,,,16.73
2001866,"  1866 Sisyphus (1972 XA)",1.893,0.5384,41.21,63.47,293.08,0.874,2.91,2.61,24315,0,5142,0,1,12.44
2001915,"  1915 Quetzalcoatl (1953 EA)",2.544,0.5706,20.40,162.93,347.81,1.092,4.00,4.06,18842,0,51,0,1,18.97
2001916,"  1916 Boreas (1953 RA)",2.272,0.4498,12.88,340.60,335.92,1.250,3.29,3.43,24753,0,1763,,,14.88
2001917,"  1917 Cuyo (1968 AA)",2.15,0.5055,23.96,188.29,194.51,1.063,3.24,3.15,24815,0,2607,0,2,14.35
2001943,"  1943 Anteros (1973 EC)",1.43,0.2560,8.71,246.31,338.38,1.064,1.80,1.71,17873,0,4617,,,15.69
2001980,"  1980 Tezcatlipoca (1950 LA)",1.709,0.3648,26.87,246.56,115.47,1.086,2.33,2.23,25952,0,3733,,,13.80
2001981,"  1981 Midas (1973 EA)",1.776,0.6501,39.83,356.86,267.83,0.622,2.93,2.37,17760,0,1077,12,1,15.22
2002059,"  2059 Baboquivari (1963 UA)",2.643,0.5314,11.02,200.69,192.42,1.239,4.05,4.3,21001,0,1452,,,15.97
2002061,"  2061 Anza (1960 UA)",2.264,0.5361,3.80,207.37,157.03,1.050,3.48,3.41,22148,0,1014,,,16.36
2002062,"  2062 Aten (1976 AA)",0.9669,0.1828,18.93,108.54,148.06,0.790,1.14,0.951,23339,0,1024,5,2,17.10
2002063,"  2063 Bacchus (1977 HB)",1.078,0.3494,9.43,33.07,55.38,0.701,1.45,1.12,16293,0,799,7,5,17.28
2002100,"  2100 Ra-Shalom (1978 RA)",0.832,0.4366,15.75,170.79,356.07,0.469,1.20,0.759,16862,0,2022,8,2,16.23
2002101,"  2101 Adonis (1936 CA)",1.874,0.7642,1.32,349.49,43.60,0.442,3.31,2.57,30790,0,119,0,5,18.64
2002102,"  2102 Tantalus (1975 YA)",1.29,0.2993,64.00,94.36,61.53,0.904,1.68,1.47,16703,0,1387,1,0,16.00
2002135,"  2135 Aristaeus (1977 HA)",1.599,0.5032,23.07,191.13,290.99,0.795,2.40,2.02,15749,1,61,,,18.02
2002201,"  2201 Oljato (1947 XC)",2.175,0.7130,2.52,74.99,98.23,0.624,3.72,3.21,32795,0,1120,0,5,15.25
2002202,"  2202 Pele (1972 RA)",2.291,0.5125,8.74,169.93,217.91,1.117,3.47,3.47,18101,0,324,,,17.15
2002212,"  2212 Hephaistos (1978 SB)",2.16,0.8374,11.54,27.51,209.41,0.351,3.97,3.17,15874,0,3101,,,13.53
2002329,"  2329 Orthos (1976 WA)",2.409,0.6541,24.48,169.28,146.06,0.833,3.98,3.74,16716,0,1766,,,14.56
2002340,"  2340 Hathor (1976 UA)",0.8437,0.4499,5.86,211.31,40.08,0.464,1.22,0.775,15431,0,454,4,3,20.33
2002368,"  2368 Beltrovata (1977 RA)",2.106,0.4133,5.22,287.33,43.06,1.235,2.98,3.06,16285,0,1410,,,15.20
2002608,"  2608 Seneca (1978 DA)",2.517,0.5707,14.67,167.33,37.37,1.080,3.95,3.99,15663,1,74,,,17.48
2003102,"  3102 Krok (1981 QA)",2.151,0.4495,8.44,172.05,154.80,1.184,3.12,3.15,14810,0,1381,,,16.18
2003103,"  3103 Eger (1982 BB)",1.404,0.3542,20.93,129.75,254.07,0.907,1.90,1.66,14705,0,4410,1,3,15.25
2003122,"  3122 Florence (1981 ET3)",1.769,0.4233,22.15,336.06,27.86,1.020,2.52,2.35,15455,0,5047,6,0,14.04
2003199,"  3199 Nefertiti (1982 RA)",1.575,0.2842,32.96,339.99,53.40,1.127,2.02,1.98,14154,0,2047,0,1,14.84
2003200,"  3200 Phaethon (1983 TB)",1.271,0.8898,22.26,265.22,322.17,0.140,2.40,1.43,13875,0,5090,8,0,14.40
2003271,"  3271 Ul (1982 RB)",2.101,0.3960,25.08,158.81,159.13,1.269,2.93,3.05,14084,0,222,,,16.56
2003288,"  3288 Seleucus (1982 DV)",2.033,0.4563,5.93,218.62,349.29,1.105,2.96,2.9,14650,0,2161,,,15.35
2003352,"  3352 McAuliffe (1981 CW)",1.879,0.3690,4.77,107.34,16.14,1.186,2.57,2.58,15056,0,2026,,,15.94
2003360,"  3360 Syrinx (1981 VA)",2.466,0.7459,21.15,242.52,63.52,0.627,4.31,3.87,14313,0,547,,,15.94
2003361,"  3361 Orpheus (1982 HR)",1.211,0.3231,2.66,188.69,302.36,0.819,1.60,1.33,14537,0,1147,2,0,19.39
2003362,"  3362 Khufu (1984 QA)",0.9895,0.4685,9.92,152.43,55.05,0.526,1.45,0.984,7394,1,262,,,18.30
2003551,"  3551 Verenia (1983 RD)",2.093,0.4872,9.51,173.78,193.27,1.073,3.11,3.03,14112,0,524,,,16.71
2003552,"  3552 Don Quixote (1983 SA)",4.263,0.7086,31.10,349.92,316.59,1.242,7.28,8.8,14043,0,1353,,,13.07
2003553,"  3553 Mera (1985 JA)",1.645,0.3200,36.77,232.51,288.89,1.118,2.17,2.11,13270,0,853,,,16.39
2003554,"  3554 Amun (1986 EB)",0.974,0.2807,23.36,358.61,359.41,0.701,1.25,0.961,11979,0,1675,,,15.82
2003671,"  3671 Dionysus (1984 KD)",2.199,0.5413,13.53,82.08,204.29,1.009,3.39,3.26,13738,0,736,,,16.49
2003691,"  3691 Bede (1982 FT)",1.774,0.2842,20.36,348.74,234.89,1.270,2.28,2.36,17125,0,3612,,,14.81
2003752,"  3752 Camillo (1985 PA)",1.413,0.3016,55.57,147.96,312.23,0.987,1.84,1.68,16890,0,1790,4,4,15.23
2003753,"  3753 Cruithne (1986 TO)",0.9977,0.5150,19.81,126.22,43.85,0.484,1.51,0.997,17554,0,1089,,,15.52
2003757,"  3757 Anagolay (1982 XB)",1.835,0.4458,3.87,74.95,17.21,1.017,2.65,2.49,13428,0,173,0,2,18.90
2003838,"  3838 Epona (1986 WA)",1.505,0.7024,29.20,235.48,49.72,0.448,2.56,1.85,12868,0,812,,,15.73
2003908,"  3908 Nyx (1980 PA)",1.928,0.4591,2.19,261.22,126.60,1.043,2.81,2.68,15235,0,1944,15,1,17.34
2003988,"  3988 Huma (1986 LA)",1.545,0.3166,10.77,229.80,86.93,1.055,2.03,1.92,13056,0,562,,,17.95
2004015,"  4015 Wilson-Harrington (1979 VA)",2.625,0.6317,2.80,266.78,95.44,0.967,4.28,4.25,26459,0,1003,,,16.02
2004034,"  4034 Vishnu (1986 PA)",1.06,0.4440,11.17,157.91,296.72,0.589,1.53,1.09,12824,0,565,0,1,18.41
2004055,"  4055 Magellan (1985 DO2)",1.82,0.3261,23.26,164.82,154.41,1.227,2.41,2.46,13611,0,4834,,,14.74
2004179,"  4179 Toutatis (1989 AC)",2.545,0.6243,0.45,125.22,277.97,0.956,4.13,4.06,32218,0,6618,35,28,15.31
2004183,"  4183 Cuno (1959 LM)",1.984,0.6352,6.68,294.67,236.61,0.724,3.24,2.79,22797,0,2659,1,0,14.13
2004197,"  4197 Morpheus (1982 TA)",2.294,0.7726,12.60,7.02,122.56,0.522,4.07,3.48,24447,0,969,4,2,14.93
2004257,"  4257 Ubasti (1987 QA)",1.647,0.4681,40.72,169.16,278.95,0.876,2.42,2.11,12664,0,894,,,16.06
2004341,"  4341 Poseidon (1987 KF)",1.834,0.6800,11.84,108.04,15.85,0.587,3.08,2.48,12733,0,753,,,16.05
2004401,"  4401 Aditi (1985 TB)",2.582,0.5636,26.62,22.81,68.17,1.127,4.04,4.15,12282,0,1049,,,16.02
2004450,"  4450 Pan (1987 SY)",1.442,0.5864,5.52,311.80,291.82,0.597,2.29,1.73,31010,0,1327,1,0,17.16
2004486,"  4486 Mithra (1987 SB)",2.2,0.6626,3.04,82.24,168.90,0.742,3.66,3.26,12837,0,934,8,9,15.53
2004487,"  4487 Pocahontas (1987 UA)",1.73,0.2966,16.41,198.11,173.94,1.217,2.24,2.28,12588,0,717,,,17.49
2004503,"  4503 Cleobulus (1989 WM)",2.705,0.5242,2.51,45.96,76.28,1.287,4.12,4.45,14766,0,1247,,,15.78
2004544,"  4544 Xanthus (1989 FB)",1.042,0.2502,14.14,23.97,333.88,0.781,1.30,1.06,12083,0,1171,0,1,17.40
2004581,"  4581 Asclepius (1989 FC)",1.023,0.3569,4.92,180.21,255.36,0.658,1.39,1.03,11706,0,424,2,2,20.79
2004596,"  4596 (1981 QB)",2.239,0.5198,37.08,154.23,248.35,1.075,3.40,3.35,14597,0,500,,,16.32
2004660,"  4660 Nereus (1982 DB)",1.486,0.3589,1.45,313.15,159.54,0.952,2.02,1.81,14820,0,2661,20,17,18.67
2004688,"  4688 (1980 WF)",2.233,0.5176,6.37,241.23,213.84,1.077,3.39,3.34,14739,0,332,,,19.48
2004769,"  4769 Castalia (1989 PB)",1.063,0.4831,8.89,325.54,121.41,0.550,1.58,1.1,11663,0,336,8,7,17.48
2004947,"  4947 Ninkasi (1988 TJ1)",1.37,0.1685,15.65,215.43,192.93,1.139,1.60,1.6,15674,0,728,,,18.00
2004953,"  4953 (1990 MU)",1.622,0.6575,24.38,77.64,77.83,0.555,2.69,2.07,17205,0,1018,0,2,15.02
2004954,"  4954 Eric (1990 SQ)",2.001,0.4490,17.43,358.42,52.55,1.103,2.90,2.83,17126,0,3767,,,12.58
2004957,"  4957 Brucemurray (1990 XJ)",1.565,0.2190,35.01,254.89,97.46,1.223,1.91,1.96,16792,0,724,,,14.93
2005011,"  5011 Ptah (6743 P-L)",1.636,0.5002,7.41,10.64,105.97,0.818,2.45,2.09,22214,0,625,,,16.36
2005131,"  5131 (1990 BG)",1.486,0.5690,36.43,110.38,135.84,0.640,2.33,1.81,15791,0,2039,,,14.86
2005143,"  5143 Heracles (1991 VL)",1.833,0.7725,9.03,309.49,227.78,0.417,3.25,2.48,24832,0,3372,1,0,14.13
2005189,"  5189 (1990 UQ)",1.552,0.4782,3.58,135.07,159.95,0.810,2.29,1.93,11426,0,1510,4,1,17.84
2005324,"  5324 Lyapunov (1987 SL)",2.986,0.6048,19.62,352.25,321.12,1.180,4.79,5.16,12621,0,247,,,15.45
2005332,"  5332 Davidaguilar (1990 DA)",2.164,0.4551,25.52,142.79,306.07,1.179,3.15,3.18,17724,0,1912,,,14.87
2005370,"  5370 Taranis (1986 RA)",3.323,0.6371,19.17,177.80,161.32,1.206,5.44,6.06,13042,0,344,,,15.24
2005381,"  5381 Sekhmet (1991 JY)",0.9475,0.2963,48.97,58.53,37.43,0.667,1.23,0.922,9438,0,376,1,0,16.60
2005496,"  5496 (1973 NA)",2.436,0.6353,68.00,101.05,118.01,0.888,3.98,3.8,17771,0,232,,,16.15
2005587,"  5587 (1990 SB)",2.397,0.5444,18.09,189.93,86.83,1.092,3.70,3.71,24811,0,3571,,,13.82
2005590,"  5590 (1990 VA)",0.9857,0.2795,14.19,216.28,34.49,0.710,1.26,0.979,2218,2,67,,,19.70
2005604,"  5604 (1992 FE)",0.9286,0.4061,4.72,311.90,82.65,0.552,1.31,0.895,16041,0,940,6,0,17.27
2005620,"  5620 Jasonwheeler (1990 OA)",2.159,0.4222,7.87,128.68,153.83,1.248,3.07,3.17,24012,0,484,,,17.04
2005626,"  5626 Melissabrucker (1991 FE)",2.194,0.4548,3.85,173.11,231.84,1.196,3.19,3.25,18559,0,3406,,,14.24
2005645,"  5645 (1990 SP)",1.355,0.3872,13.50,45.72,48.26,0.830,1.88,1.58,17131,0,994,0,1,17.23
2005646,"  5646 (1990 TR)",2.143,0.4363,7.91,14.10,335.74,1.208,3.08,3.14,11389,0,2204,,,15.37
2005653,"  5653 Camarillo (1992 WD5)",1.794,0.3047,6.88,9.89,122.69,1.248,2.34,2.4,17567,0,2256,,,16.27
2005660,"  5660 (1974 MA)",1.785,0.7619,38.13,302.16,127.01,0.425,3.15,2.39,16737,0,284,1,1,15.48
2005693,"  5693 (1993 EA)",1.271,0.5852,5.05,97.02,258.90,0.527,2.01,1.43,13969,0,1968,,,16.75
2005731,"  5731 Zeus (1988 VP4)",2.268,0.6524,11.22,280.90,218.09,0.788,3.75,3.42,12051,0,583,,,15.51
2005751,"  5751 Zao (1992 AC)",2.102,0.4251,16.07,121.64,25.50,1.208,3.00,3.05,12035,0,1846,,,14.91
2005786,"  5786 Talos (1991 RC)",1.082,0.8269,23.24,161.30,8.36,0.187,1.98,1.12,10659,0,1085,,,17.14
2005797,"  5797 Bivoj (1980 AA)",1.894,0.4442,4.19,298.94,168.67,1.053,2.73,2.61,23940,0,518,,,18.80
2005828,"  5828 (1991 AM)",1.698,0.6950,30.12,125.43,152.78,0.518,2.88,2.21,14347,0,895,,,16.04
2005836,"  5836 (1993 MF)",2.441,0.5367,7.95,238.76,78.01,1.131,3.75,3.81,14924,0,1863,,,15.00
2005863,"  5863 Tara (1983 RB)",2.223,0.5056,19.49,168.89,115.52,1.099,3.35,3.31,14088,0,1089,,,15.85
2005869,"  5869 Tanith (1988 VN4)",1.812,0.3215,17.92,227.87,230.84,1.229,2.39,2.44,16186,0,664,,,17.20
2005879,"  5879 Almeria (1992 CH1)",1.625,0.2892,21.58,145.84,355.73,1.155,2.09,2.07,10742,0,1152,,,17.66
2006037,"  6037 (1988 EG)",1.271,0.4996,3.50,182.36,242.19,0.636,1.91,1.43,12142,0,540,4,4,18.78
2006047,"  6047 (1991 TB1)",1.455,0.3522,23.48,6.08,103.84,0.942,1.97,1.75,13449,0,802,,,17.84
2006050,"  6050 Miwablock (1992 AE)",2.203,0.4370,6.40,88.19,284.96,1.240,3.17,3.27,25247,0,2173,,,15.00
2006053,"  6053 (1993 BW3)",2.148,0.5284,21.58,318.26,74.88,1.013,3.28,3.15,16765,0,2121,,,14.90
2006063,"  6063 Jason (1984 KB)",2.218,0.7648,4.95,169.11,337.57,0.522,3.91,3.3,22236,0,1211,7,3,15.97
2006178,"  6178 (1986 DA)",2.818,0.5830,4.31,64.54,127.35,1.175,4.46,4.73,16178,0,1074,1,1,15.81
2006239,"  6239 Minos (1989 QF)",1.151,0.4126,3.94,344.57,239.70,0.676,1.63,1.24,13876,0,1193,3,0,18.49
2006455,"  6455 (1992 HE)",2.241,0.5723,37.34,26.90,262.81,0.958,3.52,3.36,11898,0,2258,,,14.02
2006456,"  6456 Golombek (1992 OM)",2.193,0.4095,8.23,313.58,347.16,1.295,3.09,3.25,15443,0,1441,,,15.96
2006489,"  6489 Golevka (1991 JX)",2.486,0.6125,2.27,209.49,68.66,0.963,4.01,3.92,8968,0,1017,20,20,19.20
2006491,"  6491 (1991 OA)",2.501,0.5905,5.95,301.90,323.65,1.024,3.98,3.96,10431,0,190,,,18.70
2006569,"  6569 Ondaatje (1993 MO)",1.626,0.2206,22.64,111.48,167.32,1.267,1.98,2.07,14001,0,2304,,,16.69
2006611,"  6611 (1993 VW)",1.697,0.4846,8.70,230.79,281.57,0.874,2.52,2.21,14196,0,1206,,,16.88
2007025,"  7025 (1993 QA)",1.476,0.3151,12.61,146.61,323.46,1.011,1.94,1.79,10121,0,669,3,0,18.10
2007088,"  7088 Ishtar (1992 AA)",1.982,0.3900,8.30,102.63,354.73,1.209,2.75,2.79,14718,0,1238,,,16.85
2007092,"  7092 Cadmus (1992 LC)",2.541,0.6964,17.76,57.20,94.42,0.771,4.31,4.05,14682,0,1139,,,15.02
2007236,"  7236 (1987 PA)",2.725,0.5593,16.33,308.51,337.92,1.201,4.25,4.5,9934,0,164,,,18.30
2007335,"  7335 (1989 JA)",1.771,0.4841,15.19,61.30,232.31,0.913,2.63,2.36,12075,0,569,0,5,17.63
2007336,"  7336 Saunders (1989 RS1)",2.306,0.4817,7.20,174.47,181.48,1.195,3.42,3.5,12871,0,901,,,18.80
2007341,"  7341 (1991 VK)",1.843,0.5062,5.41,294.77,173.51,0.910,2.78,2.5,11183,0,2257,10,3,16.98
2007350,"  7350 (1993 VA)",1.356,0.3910,7.26,133.11,336.66,0.826,1.89,1.58,21091,0,1403,,,17.22
2007358,"  7358 Oze (1995 YA3)",2.198,0.5024,4.66,265.47,92.21,1.094,3.30,3.26,22787,0,2017,,,14.76
2007474,"  7474 (1992 TC)",1.566,0.2923,7.09,88.62,275.62,1.108,2.02,1.96,11250,0,423,,,18.00
2007480,"  7480 Norwan (1994 PC)",1.568,0.3171,9.45,124.38,256.83,1.071,2.06,1.96,14282,0,1126,,,17.06
2007482,"  7482 (1994 PC1)",1.349,0.3297,33.48,117.88,47.48,0.904,1.79,1.57,17352,0,1255,2,2,16.58
2007753,"  7753 (1988 XB)",1.467,0.4817,3.12,73.40,280.06,0.760,2.17,1.78,12194,0,1248,8,9,17.96
2007822,"  7822 (1991 CS)",1.123,0.1646,37.12,156.85,249.47,0.938,1.31,1.19,11414,0,1777,0,4,17.31
2007839,"  7839 (1994 ND)",2.166,0.5187,27.11,102.53,228.31,1.042,3.29,3.19,9038,0,185,,,17.80
2007888,"  7888 (1993 UC)",2.436,0.6638,26.09,165.90,323.06,0.819,4.05,3.8,11637,0,1249,5,0,15.10
2007889,"  7889 (1994 LX)",1.262,0.3462,36.91,111.27,349.19,0.825,1.70,1.42,16332,0,2177,2,2,15.18
2007977,"  7977 (1977 QQ5)",2.227,0.4661,25.17,134.16,248.05,1.189,3.26,3.32,24506,0,1441,,,15.17
2008013,"  8013 Gordonmoore (1990 KA)",2.2,0.4314,7.57,105.56,146.75,1.251,3.15,3.26,25658,0,752,,,17.10
2008014,"  8014 (1990 MF)",1.747,0.4562,1.87,209.85,114.74,0.950,2.54,2.31,11615,0,1260,9,12,18.89
2008034,"  8034 Akka (1992 LR)",1.83,0.4092,2.02,232.84,68.23,1.081,2.58,2.48,10495,0,625,,,18.01
2008035,"  8035 (1992 TB)",1.342,0.4624,28.31,185.63,6.06,0.722,1.96,1.55,10325,0,934,,,17.10
2008037,"  8037 (1993 HO1)",1.986,0.4184,5.91,22.40,105.73,1.155,2.82,2.8,15440,0,1724,,,16.54
2008176,"  8176 (1991 WA)",1.575,0.6432,39.59,66.52,241.89,0.562,2.59,1.98,11048,0,768,,,17.04
2008201,"  8201 (1994 AH2)",2.538,0.7068,9.55,164.10,25.11,0.744,4.33,4.04,14650,0,849,0,1,15.95
2008507,"  8507 (1991 CB1)",1.687,0.5946,14.59,317.42,345.79,0.684,2.69,2.19,11394,0,369,,,17.35
2008566,"  8566 (1996 EN)",1.506,0.4303,37.98,164.12,125.15,0.858,2.15,1.85,14260,0,1439,,,16.38
2008567,"  8567 (1996 HW1)",2.046,0.4494,8.45,177.10,177.28,1.126,2.97,2.93,24447,0,3917,6,6,15.34
2008709,"  8709 Kadlu (1994 JF1)",2.529,0.4890,3.52,119.25,153.61,1.293,3.77,4.02,11519,0,523,,,17.08
2009058,"  9058 (1992 JB)",1.557,0.3596,16.08,218.33,307.01,0.997,2.12,1.94,10747,0,480,,,17.97
2009162,"  9162 Kwiila (1987 OA)",1.496,0.5954,9.01,180.03,235.79,0.605,2.39,1.83,12354,0,734,,,18.00
2009172,"  9172 Abhramu (1989 OB)",2.709,0.5530,7.84,287.66,74.04,1.211,4.21,4.46,11929,0,392,,,16.65
2009202,"  9202 (1993 PB)",1.424,0.6079,40.82,315.92,212.33,0.558,2.29,1.7,10312,0,620,,,15.88
2009400,"  9400 (1994 TW1)",2.588,0.5804,36.00,3.36,62.13,1.086,4.09,4.16,10679,0,1844,,,14.84
2009856,"  9856 (1991 EE)",2.243,0.6260,9.83,168.10,116.24,0.839,3.65,3.36,10964,0,814,3,1,16.96
2009950,"  9950 ESA (1990 VB)",2.438,0.5330,14.59,253.50,103.51,1.138,3.74,3.81,11469,0,769,,,16.21
2010115," 10115 (1992 SK)",1.248,0.3248,15.32,8.90,233.67,0.843,1.65,1.39,24655,0,1578,10,7,17.08
2010145," 10145 (1994 CK1)",1.9,0.6329,4.55,328.40,27.40,0.698,3.10,2.62,9943,0,892,,,16.99
2010150," 10150 (1994 PN)",2.376,0.5439,45.95,113.00,234.00,1.083,3.67,3.66,10118,0,956,,,15.47
2010165," 10165 (1995 BL2)",1.235,0.5038,23.90,312.43,348.46,0.613,1.86,1.37,11356,0,848,,,17.41
2010302," 10302 (1989 ML)",1.272,0.1364,4.38,104.34,183.36,1.099,1.45,1.44,12012,0,585,,,19.53
2010563," 10563 Izhdubar (1993 WD)",1.007,0.2663,63.46,56.56,132.19,0.739,1.27,1.01,10824,0,616,,,16.94
2010636," 10636 (1998 QK56)",1.885,0.5125,13.58,172.94,286.32,0.919,2.85,2.59,24455,0,796,1,0,17.65
2010860," 10860 (1995 LE)",2.578,0.5746,4.15,257.27,75.42,1.097,4.06,4.14,9361,0,301,,,17.22
2011054," 11054 (1991 FA)",1.979,0.4463,3.08,339.08,92.33,1.096,2.86,2.78,30816,0,1266,,,17.08
2011066," 11066 Sigurd (1992 CC1)",1.392,0.3754,36.88,349.23,22.00,0.869,1.91,1.64,16722,0,1693,4,1,15.25
2011284," 11284 Belenus (1990 BA)",1.74,0.3373,1.99,311.74,171.17,1.153,2.33,2.3,26037,0,731,,,18.17
2011311," 11311 Peleus (1993 XN2)",2.117,0.5359,25.49,59.34,313.38,0.983,3.25,3.08,10359,0,634,,,15.91
2011398," 11398 (1998 YP11)",1.721,0.3887,15.03,144.78,74.67,1.052,2.39,2.26,13907,0,3078,,,16.33
2011405," 11405 (1999 CV3)",1.46,0.3937,22.86,141.28,96.35,0.885,2.03,1.76,15889,0,3430,,,15.29
2011500," 11500 Tomaiyowit (1989 UR)",1.08,0.3559,10.31,234.41,289.49,0.696,1.46,1.12,10889,0,1201,0,1,18.32
2011885," 11885 Summanus (1990 SS)",1.703,0.4744,19.43,359.79,116.23,0.895,2.51,2.22,11480,0,380,,,18.52
2012538," 12538 (1998 OH)",1.542,0.4060,24.53,220.71,321.76,0.916,2.17,1.91,11011,0,2649,0,1,15.92
2012711," 12711 Tukmit (1991 BB)",1.186,0.2721,38.49,294.98,322.89,0.864,1.51,1.29,11387,0,1907,0,3,16.01
2012923," 12923 Zephyr (1999 GK4)",1.962,0.4923,5.31,168.19,147.09,0.996,2.93,2.75,24442,0,2467,,,15.82
2013553," 13553 Masaakikoyama (1992 JE)",2.189,0.4642,5.88,193.46,110.00,1.173,3.20,3.24,15502,0,2003,,,16.47
2013651," 13651 (1997 BR)",1.336,0.3055,17.25,116.66,133.81,0.927,1.74,1.54,14627,0,964,0,2,17.81
2014402," 14402 (1991 DB)",1.715,0.4021,11.42,158.22,51.35,1.025,2.40,2.25,11243,0,674,,,18.64
2014827," 14827 Hypnos (1986 JK)",2.843,0.6659,1.98,57.94,238.17,0.950,4.74,4.79,12022,0,187,0,10,18.30
2015745," 15745 Yuliya (1991 PM5)",1.72,0.2550,14.43,132.62,140.60,1.281,2.16,2.26,14409,0,1262,,,17.32
2015817," 15817 Lucianotesi (1994 QC)",1.325,0.1181,13.87,162.49,94.29,1.168,1.48,1.52,9636,0,968,,,18.40
2016064," 16064 Davidharvey (1999 RH27)",2.849,0.5891,4.54,335.57,104.76,1.170,4.53,4.81,9392,0,987,,,16.67
2016636," 16636 (1993 QP)",2.309,0.4684,7.21,296.81,47.31,1.228,3.39,3.51,10363,0,981,,,18.69
2016657," 16657 (1993 UB)",2.278,0.4603,24.94,31.20,21.26,1.229,3.33,3.44,10413,0,497,,,16.70
2016816," 16816 (1997 UF9)",1.442,0.6041,25.92,37.16,157.95,0.571,2.31,1.73,8801,0,1019,,,16.17
2016834," 16834 (1997 WU22)",1.468,0.4420,15.99,260.79,334.33,0.819,2.12,1.78,11872,0,3124,1,1,15.66
2016912," 16912 Rhiannon (1998 EP8)",1.751,0.2727,24.52,169.18,221.22,1.274,2.23,2.32,10430,0,247,,,17.90
2016960," 16960 (1998 QS52)",2.201,0.8591,17.52,260.18,243.23,0.310,4.09,3.26,14051,0,1872,,,14.44
2017181," 17181 (1999 UM3)",2.37,0.6741,10.65,113.57,36.80,0.773,3.97,3.65,24189,0,439,,,16.60
2017182," 17182 (1999 VU)",1.387,0.5534,9.27,333.52,203.15,0.620,2.16,1.63,16115,0,1118,,,17.12
2017188," 17188 (1999 WC2)",2.216,0.6369,29.45,269.78,287.25,0.804,3.63,3.3,11423,0,337,1,0,16.38
2017274," 17274 (2000 LC16)",2.734,0.5537,5.57,305.74,21.36,1.220,4.25,4.52,24290,0,1904,,,16.87
2017511," 17511 (1992 QN)",1.19,0.3589,9.58,355.92,202.36,0.763,1.62,1.3,10729,0,1785,0,1,17.31
2018106," 18106 Blume (2000 NX3)",2.445,0.5120,4.22,109.19,234.95,1.193,3.70,3.82,15867,0,381,,,17.70
2018109," 18109 (2000 NG11)",1.881,0.3677,0.81,59.53,319.25,1.189,2.57,2.58,25718,0,1518,,,17.20
2018172," 18172 (2000 QL7)",2.424,0.5112,17.83,338.46,100.73,1.185,3.66,3.77,15646,0,1883,,,15.61
2018736," 18736 (1998 NU)",2.35,0.4906,2.81,297.44,222.95,1.197,3.50,3.6,24658,0,1722,,,15.94
2018882," 18882 (1999 YN4)",1.685,0.2322,36.81,291.69,242.66,1.294,2.08,2.19,24920,0,1457,,,16.05
2019356," 19356 (1997 GH3)",2.505,0.5622,3.01,186.62,334.01,1.097,3.91,3.96,10260,0,657,,,16.76
2019764," 19764 (2000 NF5)",2.233,0.4429,1.33,281.51,9.58,1.244,3.22,3.34,11475,0,2933,,,16.12
2020086," 20086 (1994 LW)",3.183,0.6231,21.77,237.16,57.98,1.200,5.17,5.68,10172,0,513,,,16.70
2020236," 20236 (1998 BZ7)",2.036,0.5587,6.50,111.50,104.24,0.899,3.17,2.91,8409,0,336,,,17.66
2020255," 20255 (1998 FX2)",2.152,0.4917,9.96,180.93,17.57,1.094,3.21,3.16,8102,0,662,,,18.29
2020425," 20425 (1998 VD35)",1.565,0.4768,6.99,227.27,296.30,0.819,2.31,1.96,2448,1,51,,,20.40
